comp (1),comp_corrected (1),raman_shift (1),vidro(ex 350 5-5),plast (ex 350 5-5),comp (2),comp_corrected (2),raman_shift (2),vidro(ex 400 5-5),plast (ex 400 5-5),comp (3),comp_corrected (3),raman_shift (3),vidro(ex 450 10-10),plast (ex 450 10-10),comp (4),comp_corrected (4),raman_shift (4),vidro(ex 500 10-10),plast (ex 500 10-10)
270.5,281.5,-6952.550114,0.3123,0.472,320.5,331.5,-10523.97869,0.2172,0.2494,370.5,381.5,-13301.75646,0.9098,1.1678,470.5,481.5,-15523.97869,0.5832,1.4074
271,282,-6889.564336,0.3256,0.5109,321,332,-10460.99291,0.1958,0.2585,371,382,-13238.77069,0.9191,1.1708,471,482,-15460.99291,0.6743,1.7422
271.5,282.5,-6826.801517,0.3125,0.5096,321.5,332.5,-10398.23009,0.1918,0.2658,371.5,382.5,-13176.00787,0.9232,1.1646,471.5,482.5,-15398.23009,0.8385,2.3312
272,283,-6764.260475,0.2791,0.4806,322,333,-10335.68905,0.1766,0.2706,372,383,-13113.46682,0.9168,1.1548,472,483,-15335.68905,1.1034,3.241
272.5,283.5,-6701.940035,0.2942,0.4096,322.5,333.5,-10273.36861,0.204,0.2746,372.5,383.5,-13051.14638,0.9081,1.156,472.5,483.5,-15273.36861,1.5002,4.5606
273,284,-6639.839034,0.2754,0.4078,323,334,-10211.26761,0.2106,0.2729,373,384,-12989.04538,0.9109,1.1587,473,484,-15211.26761,2.0619,6.4505
273.5,284.5,-6577.956314,0.2605,0.3396,323.5,334.5,-10149.38489,0.2078,0.2514,373.5,384.5,-12927.16266,0.9173,1.1588,473.5,484.5,-15149.38489,2.8179,8.9728
274,285,-6516.290727,0.2737,0.273,324,335,-10087.7193,0.2153,0.2279,374,385,-12865.49708,0.9235,1.1586,474,485,-15087.7193,3.8253,12.2934
274.5,285.5,-6454.841131,0.2736,0.2922,324.5,335.5,-10026.2697,0.2231,0.2391,374.5,385.5,-12804.04748,0.9334,1.1536,474.5,485.5,-15026.2697,5.1364,16.6291
275,286,-6393.606394,0.2569,0.2904,325,336,-9965.034965,0.2245,0.2318,375,386,-12742.81274,0.9341,1.1692,475,486,-14965.03497,6.8162,22.1118
275.5,286.5,-6332.58539,0.2478,0.2878,325.5,336.5,-9904.013962,0.225,0.2187,375.5,386.5,-12681.79174,0.9323,1.185,475.5,486.5,-14904.01396,8.8912,28.9496
276,287,-6271.777003,0.266,0.3489,326,337,-9843.205575,0.2288,0.2451,376,387,-12620.98335,0.9296,1.1879,476,487,-14843.20557,11.4353,37.1899
276.5,287.5,-6211.180124,0.2566,0.4001,326.5,337.5,-9782.608696,0.2158,0.2662,376.5,387.5,-12560.38647,0.9254,1.1953,476.5,487.5,-14782.6087,14.5219,47.2109
277,288,-6150.793651,0.2543,0.4572,327,338,-9722.222222,0.2307,0.2604,377,388,-12500,0.9122,1.2193,477,488,-14722.22222,18.197,59.1092
277.5,288.5,-6090.616489,0.2523,0.4842,327.5,338.5,-9662.045061,0.2505,0.2839,377.5,388.5,-12439.82284,0.907,1.2404,477.5,488.5,-14662.04506,22.5669,73.1523
278,289,-6030.647553,0.2331,0.5255,328,339,-9602.076125,0.2586,0.3369,378,389,-12379.8539,0.9107,1.2569,478,489,-14602.07612,27.626,89.3173
278.5,289.5,-5970.885764,0.2217,0.5029,328.5,339.5,-9542.314335,0.2664,0.3545,378.5,389.5,-12320.09211,0.9045,1.2784,478.5,489.5,-14542.31434,33.4083,107.6033
279,290,-5911.330049,0.251,0.4625,329,340,-9482.758621,0.268,0.361,379,390,-12260.5364,0.8982,1.2998,479,490,-14482.75862,39.9126,128.1864
279.5,290.5,-5851.979346,0.2257,0.4056,329.5,340.5,-9423.407917,0.2573,0.3375,379.5,390.5,-12201.1857,0.9022,1.31,479.5,490.5,-14423.40792,47.2148,151.1848
280,291,-5792.832597,0.2467,0.3179,330,341,-9364.261168,0.2541,0.2954,380,391,-12142.03895,0.9057,1.3098,480,491,-14364.26117,55.2717,176.5075
280.5,291.5,-5733.888753,0.2569,0.2778,330.5,341.5,-9305.317324,0.2431,0.2404,380.5,391.5,-12083.0951,0.9113,1.3208,480.5,491.5,-14305.31732,64.0852,203.9697
281,292,-5675.146771,0.249,0.2883,331,342,-9246.575342,0.215,0.25,381,392,-12024.35312,0.9174,1.3314,481,492,-14246.57534,73.5951,233.3937
281.5,292.5,-5616.605617,0.2691,0.269,331.5,342.5,-9188.034188,0.188,0.2683,381.5,392.5,-11965.81197,0.9107,1.3262,481.5,492.5,-14188.03419,83.7497,264.6761
282,293,-5558.264261,0.2798,0.2994,332,343,-9129.692833,0.2006,0.3211,382,393,-11907.47061,0.9022,1.3334,482,493,-14129.69283,94.461,297.5046
282.5,293.5,-5500.121684,0.2731,0.309,332.5,343.5,-9071.550256,0.204,0.3966,382.5,393.5,-11849.32803,0.9184,1.344,482.5,493.5,-14071.55026,105.6146,331.4837
283,294,-5442.176871,0.2608,0.3334,333,344,-9013.605442,0.2036,0.4508,383,394,-11791.38322,0.9325,1.3369,483,494,-14013.60544,117.0571,366.2123
283.5,294.5,-5384.428814,0.2565,0.3105,333.5,344.5,-8955.857385,0.2121,0.4515,383.5,394.5,-11733.63516,0.9435,1.3313,483.5,494.5,-13955.85739,128.6404,401.3585
284,295,-5326.876513,0.2851,0.2901,334,345,-8898.305085,0.2187,0.478,384,395,-11676.08286,0.9466,1.3252,484,495,-13898.30508,140.2765,436.3449
284.5,295.5,-5269.518975,0.2234,0.3229,334.5,345.5,-8840.947547,0.2266,0.4469,384.5,395.5,-11618.72532,0.9421,1.3199,484.5,495.5,-13840.94755,151.7748,470.7518
285,296,-5212.355212,0.2815,0.3451,335,346,-8783.783784,0.2267,0.3957,385,396,-11561.56156,0.936,1.3254,485,496,-13783.78378,162.9952,503.7919
285.5,296.5,-5155.384245,0.2962,0.3439,335.5,346.5,-8726.812816,0.2448,0.3323,385.5,396.5,-11504.59059,0.9399,1.3372,485.5,496.5,-13726.81282,173.6819,535.0911
286,297,-5098.605099,0.292,0.3234,336,347,-8670.03367,0.2389,0.3032,386,397,-11447.81145,0.9275,1.3406,486,497,-13670.03367,183.6657,563.903
286.5,297.5,-5042.016807,0.3452,0.3663,336.5,347.5,-8613.445378,0.274,0.3166,386.5,397.5,-11391.22316,0.9232,1.3499,486.5,497.5,-13613.44538,192.8506,589.9073
287,298,-4985.618408,0.347,0.432,337,348,-8557.04698,0.309,0.344,387,398,-11334.82476,0.9193,1.3727,487,498,-13557.04698,201.0284,612.496
287.5,298.5,-4929.40895,0.3421,0.4707,337.5,348.5,-8500.837521,0.3324,0.3291,387.5,398.5,-11278.6153,0.9272,1.3758,487.5,498.5,-13500.83752,208.0844,631.3664
288,299,-4873.387482,0.329,0.4642,338,349,-8444.816054,0.3423,0.299,388,399,-11222.59383,0.9362,1.3795,488,499,-13444.81605,213.7624,645.8087
288.5,299.5,-4817.553065,0.304,0.403,338.5,349.5,-8388.981636,0.3397,0.2791,388.5,399.5,-11166.75941,0.9295,1.3865,488.5,499.5,-13388.98164,218.0453,655.8994
289,300,-4761.904762,0.2915,0.3931,339,350,-8333.333333,0.3247,0.2565,389,400,-11111.11111,0.9306,1.3997,489,500,-13333.33333,220.7909,661.1235
289.5,300.5,-4706.441645,0.2263,0.3897,339.5,350.5,-8277.870216,0.2962,0.2773,389.5,400.5,-11055.64799,0.9388,1.4094,489.5,500.5,-13277.87022,222.0448,661.6854
290,301,-4651.162791,0.2295,0.34,340,351,-8222.591362,0.2417,0.2646,390,401,-11000.36914,0.9565,1.4171,490,501,-13222.59136,221.7596,657.4815
290.5,301.5,-4596.067283,0.1981,0.2571,340.5,351.5,-8167.495854,0.2486,0.3062,390.5,401.5,-10945.27363,0.9661,1.4396,490.5,501.5,-13167.49585,219.9478,648.3794
291,302,-4541.15421,0.2118,0.2524,341,352,-8112.582781,0.2402,0.3443,391,402,-10890.36056,0.9634,1.4639,491,502,-13112.58278,216.594,634.7421
291.5,302.5,-4486.422668,0.2526,0.3444,341.5,352.5,-8057.85124,0.2688,0.3886,391.5,402.5,-10835.62902,0.956,1.4595,491.5,502.5,-13057.85124,211.7384,616.8723
292,303,-4431.871759,0.2465,0.4063,342,353,-8003.30033,0.275,0.3822,392,403,-10781.07811,0.9635,1.4692,492,503,-13003.30033,205.5042,595.0562
292.5,303.5,-4377.500588,0.298,0.4427,342.5,353.5,-7948.92916,0.2829,0.3636,392.5,403.5,-10726.70694,0.9703,1.4731,492.5,503.5,-12948.92916,198.0188,569.8509
293,304,-4323.308271,0.319,0.439,343,354,-7894.736842,0.2698,0.3929,393,404,-10672.51462,0.967,1.468,493,504,-12894.73684,189.3757,541.7122
293.5,304.5,-4269.293924,0.3603,0.4455,343.5,354.5,-7840.722496,0.2477,0.3983,393.5,404.5,-10618.50027,0.963,1.4697,493.5,504.5,-12840.7225,179.7676,511.1296
294,305,-4215.456674,0.3854,0.4384,344,355,-7786.885246,0.2298,0.4117,394,405,-10564.66302,0.9677,1.4687,494,505,-12786.88525,169.3891,478.512
294.5,305.5,-4161.795651,0.3601,0.4027,344.5,355.5,-7733.224223,0.2133,0.4581,394.5,405.5,-10511.002,0.9584,1.4813,494.5,505.5,-12733.22422,158.4082,444.6127
295,306,-4108.309991,0.3384,0.3163,345,356,-7679.738562,0.1758,0.4364,395,406,-10457.51634,0.9586,1.5003,495,506,-12679.73856,146.9936,409.711
295.5,306.5,-4054.998835,0.3016,0.2334,345.5,356.5,-7626.427406,0.1783,0.4533,395.5,406.5,-10404.20518,0.9647,1.511,495.5,506.5,-12626.42741,135.2864,374.5831
296,307,-4001.861331,0.2969,0.2151,346,357,-7573.289902,0.1746,0.423,396,407,-10351.06768,0.9589,1.5049,496,507,-12573.2899,123.4894,339.5218
296.5,307.5,-3948.896632,0.2938,0.2456,346.5,357.5,-7520.325203,0.1997,0.3466,396.5,407.5,-10298.10298,0.9596,1.5,496.5,507.5,-12520.3252,111.8136,305.1705
297,308,-3896.103896,0.2848,0.2982,347,358,-7467.532468,0.2208,0.312,397,408,-10245.31025,0.9508,1.4922,497,508,-12467.53247,100.3537,271.989
297.5,308.5,-3843.482288,0.3016,0.2728,347.5,358.5,-7414.910859,0.2487,0.2746,397.5,408.5,-10192.68864,0.9594,1.5013,497.5,508.5,-12414.91086,89.2555,240.2814
298,309,-3791.030975,0.298,0.3399,348,359,-7362.459547,0.2588,0.3208,398,409,-10140.23732,0.9666,1.5129,498,509,-12362.45955,78.598,210.2139
298.5,309.5,-3738.749135,0.3128,0.3964,348.5,359.5,-7310.177706,0.268,0.3188,398.5,409.5,-10087.95548,0.9647,1.5236,498.5,509.5,-12310.17771,68.5546,182.2185
299,310,-3686.635945,0.3031,0.4061,349,360,-7258.064516,0.2747,0.3711,399,410,-10035.84229,0.9673,1.5398,499,510,-12258.06452,59.1748,156.1436
299.5,310.5,-3634.690591,0.2948,0.4522,349.5,360.5,-7206.119163,0.2729,0.3674,399.5,410.5,-9983.89694,0.9693,1.5498,499.5,510.5,-12206.11916,50.587,132.6
300,311,-3582.912265,0.2549,0.3975,350,361,-7154.340836,0.2485,0.4171,400,411,-9932.118614,0.9758,1.5533,500,511,-12154.34084,42.7846,111.347
300.5,311.5,-3531.300161,0.2281,0.4195,350.5,361.5,-7102.728732,0.2314,0.4107,400.5,411.5,-9880.50651,0.977,1.5717,500.5,511.5,-12102.72873,35.7454,92.2741
301,312,-3479.85348,0.2022,0.4227,351,362,-7051.282051,0.2239,0.4228,401,412,-9829.059829,0.9792,1.59,501,512,-12051.28205,29.4634,75.5327
301.5,312.5,-3428.571429,0.1985,0.4439,351.5,362.5,-7000,0.2351,0.4394,401.5,412.5,-9777.777778,0.9807,1.5983,501.5,512.5,-12000,23.9413,60.9787
302,313,-3377.453218,0.1976,0.443,352,363,-6948.881789,0.2166,0.467,402,413,-9726.659567,0.9856,1.607,502,513,-11948.88179,19.1849,48.531
302.5,313.5,-3326.498063,0.1827,0.3683,352.5,363.5,-6897.926635,0.2452,0.5118,402.5,413.5,-9675.704413,0.9763,1.6199,502.5,513.5,-11897.92663,15.137,38.0893
303,314,-3275.705187,0.2183,0.3656,353,364,-6847.133758,0.2694,0.5104,403,414,-9624.911536,0.9754,1.6318,503,514,-11847.13376,11.7129,29.3255
303.5,314.5,-3225.073813,0.2555,0.389,353.5,364.5,-6796.502385,0.2749,0.5078,403.5,414.5,-9574.280163,0.9769,1.6488,503.5,514.5,-11796.50238,8.8951,22.0883
304,315,-3174.603175,0.2885,0.384,354,365,-6746.031746,0.2893,0.514,404,415,-9523.809524,0.9808,1.6669,504,515,-11746.03175,6.617,16.3071
304.5,315.5,-3124.292506,0.3153,0.3998,354.5,365.5,-6695.721078,0.3094,0.45,404.5,415.5,-9473.498855,0.9742,1.6871,504.5,515.5,-11695.72108,4.8295,11.7922
305,316,-3074.141049,0.3084,0.3435,355,366,-6645.56962,0.3144,0.5416,405,416,-9423.347398,0.9767,1.711,505,516,-11645.56962,3.4368,8.2572
305.5,316.5,-3024.148048,0.2971,0.3797,355.5,366.5,-6595.576619,0.3038,0.5121,405.5,416.5,-9373.354397,0.9805,1.7206,505.5,516.5,-11595.57662,2.397,5.6509
306,317,-2974.312753,0.3073,0.4186,356,367,-6545.741325,0.3156,0.5627,406,417,-9323.519103,0.9795,1.7326,506,517,-11545.74132,1.6347,3.753
306.5,317.5,-2924.634421,0.3138,0.4884,356.5,367.5,-6496.062992,0.3122,0.6329,406.5,417.5,-9273.84077,0.9815,1.7458,506.5,517.5,-11496.06299,1.1006,2.4686
307,318,-2875.112309,0.3044,0.5432,357,368,-6446.540881,0.2924,0.6332,407,418,-9224.318658,0.9834,1.7682,507,518,-11446.54088,0.7507,1.6384
307.5,318.5,-2825.745683,0.2958,0.5271,357.5,368.5,-6397.174254,0.3179,0.6205,407.5,418.5,-9174.952032,0.9974,1.8106,507.5,518.5,-11397.17425,0.5249,1.1117
308,319,-2776.533811,0.3117,0.5308,358,369,-6347.962382,0.2977,0.5656,408,419,-9125.74016,1.0031,1.8253,508,519,-11347.96238,0.3914,0.8144
308.5,319.5,-2727.475967,0.3154,0.6001,358.5,369.5,-6298.904538,0.2702,0.5127,408.5,419.5,-9076.682316,1.0078,1.8431,508.5,519.5,-11298.90454,0.3384,0.6974
309,320,-2678.571429,0.2981,0.5514,359,370,-6250,0.2591,0.5021,409,420,-9027.777778,1.0085,1.8626,509,520,-11250,0.346,0.6977
309.5,320.5,-2629.819478,0.2682,0.5025,359.5,370.5,-6201.24805,0.2309,0.4582,409.5,420.5,-8979.025828,1.0246,1.8778,509.5,520.5,-11201.24805,0.3725,0.7667
310,321,-2581.219404,0.2495,0.4535,360,371,-6152.647975,0.1988,0.5365,410,421,-8930.425753,1.043,1.8777,510,521,-11152.64798,0.4015,0.8421
310.5,321.5,-2532.770495,0.2236,0.4911,360.5,371.5,-6104.199067,0.1778,0.4972,410.5,421.5,-8881.976845,1.0615,1.8936,510.5,521.5,-11104.19907,0.431,0.914
311,322,-2484.47205,0.2468,0.5483,361,372,-6055.900621,0.1824,0.4958,411,422,-8833.678399,1.0696,1.9038,511,522,-11055.90062,0.4535,0.9718
311.5,322.5,-2436.323367,0.2395,0.6294,361.5,372.5,-6007.751938,0.1965,0.5553,411.5,422.5,-8785.529716,1.0661,1.9061,511.5,522.5,-11007.75194,0.4672,1.0178
312,323,-2388.323751,0.2415,0.6266,362,373,-5959.752322,0.225,0.5178,412,423,-8737.5301,1.0617,1.9175,512,523,-10959.75232,0.4777,1.0439
312.5,323.5,-2340.47251,0.2257,0.607,362.5,373.5,-5911.901082,0.257,0.4706,412.5,423.5,-8689.67886,1.0568,1.9259,512.5,523.5,-10911.90108,0.4796,1.0468
313,324,-2292.768959,0.2036,0.6918,363,374,-5864.197531,0.2704,0.4924,413,424,-8641.975309,1.0694,1.9353,513,524,-10864.19753,0.4799,1.0388
313.5,324.5,-2245.212415,0.1891,0.7372,363.5,374.5,-5816.640986,0.2844,0.5039,413.5,424.5,-8594.418764,1.0839,1.9536,513.5,524.5,-10816.64099,0.4763,1.0274
314,325,-2197.802198,0.1945,0.6792,364,375,-5769.230769,0.2886,0.5939,414,425,-8547.008547,1.091,1.9617,514,525,-10769.23077,0.4667,1.0138
314.5,325.5,-2150.537634,0.2132,0.7135,364.5,375.5,-5721.966206,0.2868,0.6871,414.5,425.5,-8499.743984,1.0964,1.983,514.5,525.5,-10721.96621,0.4572,1.0009
315,326,-2103.418054,0.2484,0.7886,365,376,-5674.846626,0.2653,0.7897,415,426,-8452.624404,1.0994,2.0002,515,526,-10674.84663,0.4483,0.9891
315.5,326.5,-2056.442792,0.2778,0.8014,365.5,376.5,-5627.871363,0.2421,0.8104,415.5,426.5,-8405.649141,1.1056,2.0107,515.5,526.5,-10627.87136,0.441,0.9742
316,327,-2009.611184,0.2998,0.7865,366,377,-5581.039755,0.2178,0.7992,416,427,-8358.817533,1.109,2.0303,516,527,-10581.03976,0.4352,0.9585
316.5,327.5,-1962.922574,0.3121,0.758,366.5,377.5,-5534.351145,0.2018,0.8564,416.5,427.5,-8312.128923,1.1082,2.0344,516.5,527.5,-10534.35115,0.4298,0.9464
317,328,-1916.376307,0.327,0.71,367,378,-5487.804878,0.2241,0.8466,417,428,-8265.582656,1.1229,2.0407,517,528,-10487.80488,0.4217,0.9322
317.5,328.5,-1869.971733,0.3095,0.702,367.5,378.5,-5441.400304,0.2417,0.8285,417.5,428.5,-8219.178082,1.1255,2.0305,517.5,528.5,-10441.4003,0.4161,0.9191
318,329,-1823.708207,0.2859,0.7554,368,379,-5395.136778,0.256,0.8252,418,429,-8172.914556,1.1362,2.0254,518,529,-10395.13678,0.4124,0.907
318.5,329.5,-1777.585086,0.2657,0.7716,368.5,379.5,-5349.013657,0.2682,0.8342,418.5,429.5,-8126.791435,1.1441,2.0436,518.5,529.5,-10349.01366,0.4087,0.8947
319,330,-1731.601732,0.2695,0.8133,369,380,-5303.030303,0.2798,0.8397,419,430,-8080.808081,1.1423,2.0156,519,530,-10303.0303,0.4079,0.8831
319.5,330.5,-1685.75751,0.2523,0.8796,369.5,380.5,-5257.186082,0.2893,0.8938,419.5,430.5,-8034.963859,1.0318,1.8106,519.5,530.5,-10257.18608,0.4067,0.8738
320,331,-1640.051791,0.2888,0.8389,370,381,-5211.480363,0.2546,0.9397,420,431,-7989.25814,0.9892,1.7298,520,531,-10211.48036,0.4016,0.8654
320.5,331.5,-1594.483947,0.318,0.7511,370.5,381.5,-5165.912519,0.2613,1.0205,420.5,431.5,-7943.690297,1.0596,1.8989,520.5,531.5,-10165.91252,0.3973,0.8562
321,332,-1549.053356,0.3337,0.7096,371,382,-5120.481928,0.2688,1.0939,421,432,-7898.259705,1.1782,2.2508,521,532,-10120.48193,0.3903,0.8499
321.5,332.5,-1503.759398,0.348,0.699,371.5,382.5,-5075.18797,0.2388,1.1828,421.5,432.5,-7852.965748,1.389,2.8131,521.5,532.5,-10075.18797,0.3818,0.8439
322,333,-1458.601459,0.3551,0.7369,372,383,-5030.03003,0.2768,1.1587,422,433,-7807.807808,1.685,3.4768,522,533,-10030.03003,0.3742,0.8396
322.5,333.5,-1413.578925,0.3615,0.7622,372.5,383.5,-4985.007496,0.3417,1.1465,422.5,433.5,-7762.785274,1.7671,3.7538,522.5,533.5,-9985.007496,0.361,0.8343
323,334,-1368.691189,0.3505,0.8106,373,384,-4940.11976,0.3529,1.0857,423,434,-7717.897538,2.2011,4.8568,523,534,-9940.11976,0.35,0.8291
323.5,334.5,-1323.937647,0.3268,0.8457,373.5,384.5,-4895.366218,0.3514,1.0351,423.5,434.5,-7673.143996,2.8211,6.36,523.5,534.5,-9895.366218,0.3356,0.8262
324,335,-1279.317697,0.3116,0.9657,374,385,-4850.746269,0.3977,1.0092,424,435,-7628.524046,4.0129,9.1858,524,535,-9850.746269,0.321,0.8237
